,sentence,Word,NER
0,1,@paulwalk,O
1,1,It,O
2,1,'s,O
3,1,the,O
4,1,view,O
5,1,from,O
6,1,where,O
7,1,I,O
8,1,'m,O
9,1,living,O
10,1,for,O
11,1,two,O
12,1,weeks,O
13,1,.,O
14,1,Empire,B-location
15,1,State,I-location
16,1,Building,I-location
17,1,=,O
18,1,ESB,B-location
19,1,.,O
20,1,Pretty,O
21,1,bad,O
22,1,storm,O
23,1,here,O
24,1,last,O
25,1,evening,O
26,1,.,O
28,2,From,O
29,2,Green,O
30,2,Newsfeed,O
31,2,:,O
32,2,AHFA,B-group
33,2,extends,O
34,2,deadline,O
35,2,for,O
36,2,Sage,O
37,2,Award,O
38,2,to,O
39,2,Nov,O
40,2,.,O
41,2,5,O
42,2,http://tinyurl.com/24agj38,O
44,3,Pxleyes,B-corporation
45,3,Top,O
46,3,50,O
47,3,Photography,O
48,3,Contest,O
49,3,Pictures,O
50,3,of,O
51,3,August,O
52,3,2010,O
53,3,...,O
54,3,http://bit.ly/bgCyZ0,O
55,3,#photography,O
57,4,today,O
58,4,is,O
59,4,my,O
60,4,last,O
61,4,day,O
62,4,at,O
63,4,the,O
64,4,office,O
65,4,.,O
67,5,4Dbling,B-person
68,5,'s,O
69,5,place,O
70,5,til,O
71,5,monday,O
72,5,",",O
73,5,party,O
74,5,party,O
75,5,party,O
76,5,.,O
77,5,&lt;,O
78,5,3,O
80,6,watching,O
81,6,the,O
82,6,VMA,B-creative-work
83,6,pre-show,O
84,6,again,O
85,6,lol,O
86,6,it,O
87,6,was,O
88,6,n't,O
89,6,even,O
90,6,a,O
91,6,good,O
92,6,show,O
93,6,the,O
94,6,first,O
95,6,time,O
96,6,...,O
97,6,so,O
98,6,bored,O
99,6,!,O
101,7,27,O
102,7,followers,O
103,7,!,O
104,7,30,O
105,7,followers,O
106,7,is,O
107,7,my,O
108,7,goal,O
109,7,for,O
110,7,today,O
111,7,!,O
113,8,This,O
114,8,is,O
115,8,the,O
116,8,2nd,O
117,8,hospital,O
118,8,ive,O
119,8,been,O
120,8,in,O
121,8,today,O
122,8,",",O
123,8,but,O
124,8,ive,O
125,8,just,O
126,8,seen,O
127,8,a,O
128,8,doctor,O
129,8,who,O
130,8,was,O
131,8,an,O
132,8,older,O
133,8,version,O
134,8,of,O
135,8,justin,O
136,8,:',O
137,8,),O
139,9,Friday,O
140,9,Night,O
141,9,Eats,O
142,9,http://twitpic.com/2pdvtr,O
144,10,Gotta,O
145,10,dress,O
146,10,up,O
147,10,for,O
148,10,london,O
149,10,fashion,O
150,10,week,O
151,10,and,O
152,10,party,O
153,10,in,O
154,10,style,O
155,10,!,O
157,11,@Suzie55,O
158,11,whispering,O
159,11,cause,O
160,11,I,O
161,11,may,O
162,11,have,O
163,11,had,O
164,11,1,O
165,11,too,O
166,11,many,O
167,11,vodka,B-product
168,11,'s,O
169,11,last,O
170,11,night,O
171,11,and,O
172,11,am,O
173,11,a,O
174,11,lil,O
175,11,fragile,O
176,11,",",O
177,11,hold,O
178,11,me,O
179,11,?,O
181,12,#NFL,O
182,12,Week,O
183,12,2,O
184,12,picks,O
185,12,blog,O
186,12,is,O
187,12,up,O
188,12,on,O
189,12,@The_Score,O
190,12,website,O
191,12,...,O
192,12,http://blogs.thescore.com/nfl/2010/09/17/pizzolaw2/,O
194,13,I,O
195,13,like,O
196,13,@SouljaBoy,O
197,13,songs,O
198,13,after,O
199,13,a,O
200,13,few,O
201,13,drinks,O
203,14,...,O
204,14,asked,O
205,14,me,O
206,14,a,O
207,14,question,O
208,14,for,O
209,14,once,O
210,14,",",O
211,14,but,O
212,14,no,O
213,14,!,O
214,14,You,O
215,14,ask,O
216,14,me,O
217,14,about,O
218,14,fucking,O
219,14,donuts,O
220,14,you,O
221,14,donut,O
222,14,...,O
223,14,have,O
224,14,a,O
225,14,nice,O
226,14,day,O
227,14,:P,O
229,15,every,O
230,15,year,O
231,15,your,O
232,15,"""",O
233,15,bestfriend,O
234,15,"""",O
235,15,get,O
236,15,yo,O
237,15,ass,O
238,15,in,O
239,15,trouble,O
240,15,smdh,O
241,15,#doinme,O
243,16,RT,O
244,16,@midgetmegs,O
245,16,:,O
246,16,hate,O
247,16,people,O
248,16,who,O
249,16,write,O
250,16,drunk,O
251,16,status'.,O
252,16,must,O
253,16,be,O
254,16,having,O
255,16,a,O
256,16,great,O
257,16,time,O
258,16,if,O
259,16,your,O
260,16,sat,O
261,16,writing,O
262,16,it,O
263,16,on,O
264,16,facebook,B-corporation
265,16,.....,O
267,17,@MrzEndy,O
268,17,tru,O
269,17,tru,O
270,17,I,O
271,17,'m,O
272,17,leavin,O
273,17,again,O
274,17,on,O
275,17,Tuesday,O
276,17,yo,O
278,18,The,O
279,18,guys,O
280,18,are,O
281,18,cooking,O
282,18,about,O
283,18,a,O
284,18,dozen,O
285,18,pizzas,O
286,18,at,O
287,18,our,O
288,18,house,O
289,18,for,O
290,18,the,O
291,18,tailgate,O
292,18,tonight,O
293,18,.,O
294,18,Nonetheless,O
295,18,it,O
296,18,smells,O
297,18,fresh,O
298,18,in,O
299,18,this,O
300,18,place,O
301,18,.,O
303,19,I,O
304,19,heart,O
305,19,Park(ing,O
306,19,),O
307,19,Day,O
308,19,!,O
309,19,Photo,O
310,19,of,O
311,19,meter,O
312,19,shark,O
313,19,:,O
314,19,http://bit.ly/aQun1b,O
316,20,hows,O
317,20,everyones,O
318,20,day,O
319,20,goin,O
320,20,?,O
322,21,@Phoebe1_,O
323,21,and,O
324,21,i,O
325,21,also,O
326,21,loved,O
327,21,the,O
328,21,last,O
329,21,years,O
330,21,eurovision,O
331,21,entry,O
332,21,!!,O
333,21,hoppaa,O
334,21,!,O
335,21,they,O
336,21,were,O
337,21,cool,O
338,21,too,O
339,21,!!,O
341,22,MetroPCS,B-corporation
342,22,has,O
343,22,the,O
344,22,worst,O
345,22,customer,O
346,22,service,O
347,22,I,O
348,22,'ve,O
349,22,experienced,O
350,22,in,O
351,22,months,O
352,22,(,O
353,22,trying,O
354,22,to,O
355,22,help,O
356,22,someone,O
357,22,order,O
358,22,a,O
359,22,phone,O
360,22,),O
361,22,#metropcs,O
362,22,#fail,O
364,23,@xSophieBx,O
365,23,He,O
366,23,has,O
367,23,a,O
368,23,habit,O
369,23,of,O
370,23,tweeting,O
371,23,at,O
372,23,the,O
373,23,same,O
374,23,time,O
375,23,as,O
376,23,you,O
377,23,lol,O
379,24,A,O
380,24,TRUE,O
381,24,friend,O
382,24,walks,O
383,24,in,O
384,24,when,O
385,24,everybody,O
386,24,else,O
387,24,walks,O
388,24,out,O
389,24,!,O
391,25,Yay,O
392,25,.,O
393,25,@penguin,O
394,25,is,O
395,25,coming,O
396,25,to,O
397,25,see,O
398,25,me,O
399,25,next,O
400,25,week,O
401,25,...,O
402,25,plotting,O
403,25,my,O
404,25,cooking,O
405,25,now,O
406,25,!,O
408,26,@_mistercory,O
409,26,*Smiles,O
410,26,up,O
411,26,at,O
412,26,him*,O
413,26,Can,O
414,26,we,O
415,26,just,O
416,26,...,O
417,26,sit,O
418,26,together,O
419,26,for,O
420,26,a,O
421,26,while,O
422,26,before,O
423,26,round,O
424,26,two,O
425,26,?,O
427,27,the,O
428,27,tears,O
429,27,may,O
430,27,have,O
431,27,been,O
432,27,and,O
433,27,gone,O
434,27,",",O
435,27,but,O
436,27,the,O
437,27,feeling,O
438,27,still,O
439,27,stay,O
440,27,the,O
441,27,same,O
442,27,.,O
444,28,@BieberEgypt,O
445,28,I,O
446,28,'ve,O
447,28,got,O
448,28,some,O
449,28,bad,O
450,28,news,O
451,28,",",O
452,28,Yeah,O
453,28,I,O
454,28,cant,O
455,28,come,O
456,28,to,O
457,28,the,O
458,28,meeting,O
459,28,tomorrow,O
460,28,.,O
461,28,:,O
462,28,S,O
464,29,@abzmedic,O
465,29,I,O
466,29,'m,O
467,29,missing,O
468,29,autumn,O
469,29,because,O
470,29,of,O
471,29,work,O
472,29,.,O
473,29,:(,O
474,29,I,O
475,29,must,O
476,29,get,O
477,29,into,O
478,29,the,O
479,29,forests,O
480,29,tomorrow,O
481,29,!,O
483,30,Fellas,O
484,30,Do,O
485,30,n't,O
486,30,just,O
487,30,lick,O
488,30,the,O
489,30,PussyY,O
490,30,",",O
491,30,LOVE,O
492,30,IT,O
493,30,!,O
494,30,enjoy,O
495,30,it,O
496,30,.,O
497,30,like,O
498,30,u,O
499,30,just,O
500,30,got,O
501,30,married,O
502,30,&lt;,O
503,30,the,O
504,30,preacher,O
505,30,said,O
506,30,u,O
507,30,may,O
508,30,kiss,O
509,30,the,O
510,30,bride,O
512,31,RT,O
513,31,@Sexstrology,O
514,31,:,O
515,31,Pisces,O
516,31,tend,O
517,31,to,O
518,31,escape,O
519,31,into,O
520,31,fantasy,O
521,31,and,O
522,31,day,O
523,31,dreams,O
524,31,.,O
525,31,There,O
526,31,they,O
527,31,are,O
528,31,free,O
529,31,.,O
531,32,Cant,O
532,32,wait,O
533,32,for,O
534,32,the,O
535,32,ravens,B-group
536,32,game,O
537,32,tomorrow,O
538,32,....,O
539,32,go,O
540,32,ray,B-person
541,32,rice,I-person
542,32,!!!!!!!,O
544,33,I,O
545,33,just,O
546,33,took,O
547,33,"""",O
548,33,When,O
549,33,your,O
550,33,mom,O
551,33,makes,O
552,33,you,O
553,33,go,O
554,33,live,O
555,33,with,O
556,33,your,O
557,33,dad,O
558,33,Scooter,B-person
559,33,Braun,I-person
560,33,",",O
561,33,your,O
562,33,life,O
563,33,"...""",O
564,33,and,O
565,33,got,O
566,33,:,O
567,33,Part,O
568,33,7,O
569,33,!,O
570,33,Try,O
571,33,it,O
572,33,:,O
573,33,http://tinyurl.com/27r2pdz,O
575,34,I,O
576,34,miss,O
577,34,being,O
578,34,able,O
579,34,to,O
580,34,run,O
581,34,and,O
582,34,dance,O
583,34,around,O
584,34,all,O
585,34,day,O
586,34,instead,O
587,34,of,O
588,34,having,O
589,34,to,O
590,34,catch,O
591,34,my,O
592,34,breath,O
593,34,every,O
594,34,five,O
595,34,minutes,O
596,34,of,O
597,34,my,O
598,34,life,O
599,34,.,O
601,35,@SnoopDogg,O
602,35,hey,O
603,35,snoop,B-person
604,35,my,O
605,35,wife,O
606,35,Cath,O
607,35,is,O
608,35,30,O
609,35,today,O
610,35,",",O
611,35,any,O
612,35,chance,O
613,35,of,O
614,35,a,O
615,35,shout,O
616,35,out,O
617,35,to,O
618,35,her,O
619,35,",",O
621,36,Today,O
622,36,I,O
623,36,got,O
624,36,a,O
625,36,promotion,O
626,36,at,O
627,36,work,O
628,36,",",O
629,36,and,O
630,36,tomorrow,O
631,36,I,O
632,36,'m,O
633,36,going,O
634,36,home,O
635,36,to,O
636,36,Wisconsin,B-location
637,36,for,O
638,36,a,O
639,36,few,O
640,36,days,O
641,36,.,O
642,36,So,O
643,36,content,O
644,36,with,O
645,36,life,O
646,36,right,O
647,36,now,O
648,36,.,O
649,36,:),O
651,37,TWEET,O
652,37,!,O
653,37,@stjosephs,O
654,37,Empls,O
655,37,of,O
656,37,the,O
657,37,Month,O
658,37,:,O
659,37,Deborah,B-person
660,37,L,I-person
661,37,#Speech,O
662,37,#Pathologist-Childrens,O
663,37,Rehab,O
664,37,and,O
665,37,Patricia,B-person
666,37,M,I-person
667,37,#Referral/#Auth,O
668,37,#Spec-#Womens,O
669,37,#Care,O
670,37,!,O
672,38,RT,O
673,38,@LilTwist,O
674,38,:,O
675,38,RT,O
676,38,this,O
677,38,if,O
678,38,you,O
679,38,want,O
680,38,me,O
681,38,to,O
682,38,go,O
683,38,back,O
684,38,live,O
685,38,on,O
686,38,Ustream,B-corporation
687,38,later,O
688,38,tonight,O
690,39,Really,O
691,39,hope,O
692,39,I,O
693,39,can,O
694,39,get,O
695,39,to,O
696,39,@glasgowfilm,O
697,39,for,O
698,39,Winter,B-creative-work
699,39,'s,I-creative-work
700,39,Bone,I-creative-work
701,39,-,O
702,39,need,O
703,39,to,O
704,39,get,O
705,39,on,O
706,39,with,O
707,39,job,O
708,39,applications,O
709,39,tonight,O
710,39,then,O
711,39,!,O
712,39,Trailer,O
713,39,:,O
714,39,http://bit.ly/bhUlum,O
716,40,RT,O
717,40,@WeSpazForJB,O
718,40,:,O
719,40,http://twitpic.com/2nn4ee,O
720,40,&lt;,O
721,40,----,O
722,40,still,O
723,40,the,O
724,40,funniest,O
725,40,photo,O
726,40,.,O
727,40,of,O
728,40,all,O
729,40,time,O
730,40,.,O
731,40,ALL,O
732,40,TIME,O
733,40,.,O
735,41,I,O
736,41,have,O
737,41,eaten,O
738,41,a,O
739,41,large,O
740,41,quantity,O
741,41,of,O
742,41,oranges,O
743,41,this,O
744,41,week,O
745,41,...,O
747,42,Bonfire,O
748,42,tonite,O
749,42,.,O
750,42,All,O
751,42,are,O
752,42,welcome,O
753,42,",",O
754,42,joe,B-person
755,42,included,O
757,43,@KFSH,O
758,43,totally,O
759,43,!,O
760,43,I,O
761,43,can,O
762,43,go,O
763,43,a,O
764,43,week,O
765,43,w/o,O
766,43,tv,O
767,43,",",O
768,43,phones,O
769,43,or,O
770,43,a,O
771,43,computer,O
772,43,.,O
773,43,I,O
774,43,get,O
775,43,some,O
776,43,time,O
777,43,to,O
778,43,myself,O
779,43,and,O
780,43,God,B-person
781,43,.,O
782,43,Brings,O
783,43,peace,O
784,43,into,O
